Unnamed: 0,ID,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,nombre_completo,carnet,INGRESO,LIMIT_BAL
28000,28001,2,2,1,29,1,2,2,2,0,0,17188.79891768396,13017.81119050434,8869.567895054251,17145.3171505077,16612.554255007533,6625.113731168084,0.0,3500.0,0.0,0.0,1000.0,0.0,Graciela Tafoya Medina,34964590,4991.8,17618.0
28001,28002,2,1,2,29,0,0,0,0,0,0,7946.392336126236,6279.784740713257,11382.671296564253,8249.213660653264,12736.424373684307,9873.78707293284,5200.0,7982.0,4500.0,4048.0,3800.0,3818.0,Ing. Patricia Núñez,53674440,4403.1,13901.0
28002,28003,2,1,2,29,2,-1,-1,-1,-1,-1,711.0,711.0,711.0,711.0,711.0,291.0,673.2342362345066,465.10059770896,495.5354692304106,497.9075373444296,291.0,241.65849793665623,Adriana Porras,41211408,6938.1,33110.0
28003,28004,2,1,2,30,-1,-1,-1,-1,0,0,11333.449370317056,24913.63816882815,15772.62083808465,22223.744690787906,9973.16993293661,18948.28686967893,52412.256525712684,544609.408114231,164577.0,510.0,6239.0,4550.0,Yuridia Madrid,44111884,6280.3,27031.0
28004,28005,2,2,2,30,1,2,0,0,0,0,20128.0,17842.0,18979.0,7886.0,13319.04100696224,20025.0,0.0,7027.0,1000.0,9157.866929400614,6000.0,1000.0,Srita. Gabriela Casanova,25140769,6562.6,30112.0
28005,28006,2,1,2,27,0,0,0,0,0,0,11123.8375435873,7061.758767604762,11686.936581369191,11925.016455781792,10303.097694852371,6173.103704619081,30000.0,20142.0,3759.0,7022.0,20000.0,10000.0,Rosario Camarillo Cabán,39528755,5097.3,16129.0
28006,28007,2,2,2,24,0,0,0,0,0,0,6217.0,7947.0,9649.0,10336.835954303564,5851.5491369442925,9325.484229982998,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,Rosa Gloria Badillo Marroquín,89024133,3418.8,14626.0
28007,28008,2,2,1,25,0,0,0,0,0,0,10064.393771773495,13581.03438285032,6305.966076566872,8801.92971064435,9054.373585964142,10914.093052179833,2000.0,1790.0,1250.0,700.0,644.0,1000.0,Sra. Nelly Alvarado,1321672,3234.0,14168.0
28008,28009,2,1,3,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Minerva Eva Rascón,78445212,5762.9,24152.0
28009,28010,2,1,2,28,-1,-1,-2,-2,-2,-2,3470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,María Eugenia Marisol Olivera,55684598,6494.8,29903.0
28010,28011,2,2,2,29,0,0,0,0,0,0,9667.583462636869,10577.224621393683,15038.11174512377,10116.952091533773,15478.697795491182,6634.537342043604,10000.0,10200.0,11000.0,21500.0,12000.0,15000.0,Indira Noemí Carrero,9139487,4075.5,16978.0
28011,28012,2,5,2,30,0,0,0,0,0,0,21679.2790831814,22541.889737962785,24534.708870461545,18751.811735571115,13503.376147626466,12145.39166972402,5148.0,3000.0,1978.0,4700.0,1000.0,2000.0,Sessa Ávila Cervántez,69768536,5150.0,25374.0
28012,28013,2,1,2,28,-1,0,-1,0,-1,-1,6601.0,8312.0,2102.0,4707.0,7216.0,6565.0,3778.953277310482,2102.0,2370.2223263575543,5215.690236857234,6565.0,4757.0,Sra. Georgina Chacón,14379425,7655.7,31922.0
28013,28014,2,2,2,28,-2,-2,-2,-2,-2,-2,2191.0,645.0,2102.0,5477.0,2258.0,1849.0,645.0,666.1313447351747,1277.6669964940968,2276.0,1618.8402136254197,1370.4904439767363,Srita. Abril Varela,9697713,3494.7,14189.0
28014,28015,2,2,1,28,0,-1,-1,-1,0,0,5527.0,614.0,7259.786708442798,8328.393276412873,7549.0,5353.865663814925,1000.0,349.71618734317826,11333.267007723163,5748.095245312658,0.0,0.0,Adriana María Teresa Linares,80632634,2890.8,9040.0
28015,28016,2,2,2,29,1,2,2,2,0,0,4577.0,4356.0,6643.0,2831.0,1745.0,3212.0,0.0,2400.0,0.0,1500.0,1381.0869817072487,1000.0,Sara Vásquez Rodríquez,38219481,2995.3,11938.0
28016,28017,2,2,1,27,-2,-2,-2,-2,-2,-2,444.0,0.0,1650.0,0.0,2226.0,0.0,0.0,1650.0,0.0,2226.0,0.0,656.0,Ana María Irma de la Torre,10889259,3878.6,12192.0
28017,28018,2,2,2,27,0,-1,0,-1,0,-1,8260.909619013515,2225.0,3708.0,8637.507939131207,12778.356604860002,5262.778574054341,2239.0,2124.78679805534,4029.9478686379166,10003.0,18567.59706023029,8756.0,Isabela Patricia Guzmán,49480153,3588.2,13102.0
