Unnamed: 0,ID,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,nombre_completo,carnet,INGRESO,LIMIT_BAL
18000,18001,1,2,2,37,1,2,2,0,0,0,29562.963823821578,20839.969320346143,24199.067930282097,31351.47689593715,20444.831912600817,25572.869992982512,4300.0,0.0,4200.0,3238.0,3400.0,3550.0,Dr. Alonso Villarreal,16002830,9530.4,38132.0
18001,18002,1,2,2,39,2,0,0,0,0,0,17272.25225487799,7923.968865645531,16171.199379439977,13550.785056329922,12304.95262769731,9962.433953923692,5500.0,7103.0,3000.0,3000.0,2000.0,0.0,Samuel Mauro Palacios,30284150,4777.3,19405.0
18002,18003,1,2,2,30,0,0,0,0,0,0,6714.729812919277,7907.884471953973,7744.817826392582,4791.7586995680085,11879.702721171954,8313.581665720925,3000.0,3000.0,3000.0,2000.0,2000.0,2000.0,Manuel Zepeda Cortez,29397555,4599.1,14380.0
18003,18004,1,2,2,33,1,2,8,7,7,6,18889.881551462702,11027.838659622195,23134.07009425697,28266.086604717915,19654.79374270186,12923.63685342912,12000.0,0.0,2500.0,0.0,1000.0,1500.0,Dr. Aldo Armas,93064460,5926.8,29001.0
18004,18005,1,2,2,35,0,0,0,0,0,0,8315.182447111032,21711.627598049967,18815.57278639052,25305.138483285344,12634.099049842223,8515.181659839152,40006.0,26531.0,10017.0,9123.0,10259.0,5079.0,José Luis Marco Antonio Abrego,99126340,8022.3,25517.0
18005,18006,1,2,1,39,2,2,2,2,2,2,15460.199438282252,30034.0,19576.541860207515,19656.130041308606,25312.17224073617,23575.08560792416,4000.0,0.0,3000.0,1500.0,0.0,2600.0,Jorge Caraballo Montoya,55332014,8923.2,37316.0
18006,18007,1,1,2,46,-2,-2,-2,-1,-1,-1,6229.0,4636.0,3810.0,6193.0,1957.0,3175.0,4504.808826038062,3832.0,3236.771147828367,1961.0,1088.8079404988928,3370.0511407700656,Porfirio Mariano Correa Murillo,34771409,8095.1,27924.0
18007,18008,1,2,2,40,-1,0,0,0,0,0,14531.944742102953,16046.770249544134,21712.5861032518,13932.501169198858,23282.61725003122,17366.280535655027,11028.0,15044.0,10115.0,14026.0,5104.0,20077.0,José Emilio Mondragón Luna,52344765,7434.9,24774.0
18008,18009,1,2,1,41,1,2,0,0,0,2,21759.65295565895,20316.227928640943,24005.983376691835,23622.67126738624,14192.69376841235,26476.19082082031,0.0,4008.0,4100.0,7200.0,0.0,3271.0,Dr. Bernabé Montemayor,85925512,8800.0,26590.0
18009,18010,1,3,2,43,0,0,0,0,0,0,8217.555892785045,17096.56095694299,12324.634726929724,16321.693982825393,14642.15711787232,25226.69739964432,11500.0,14000.0,20000.0,6500.0,8000.0,7000.0,Gabino Joaquín Dávila,71247164,7137.9,26662.0
18010,18011,1,3,1,46,1,2,0,0,0,0,15267.064623929058,17436.850335109462,12557.666802239624,16808.24515261345,13187.853313941248,20447.74628307877,0.0,1700.0,1700.0,1000.0,1749.0,0.0,Mauro Lucas Cruz Villarreal,4435794,4882.5,24245.0
18011,18012,1,2,2,37,0,0,0,0,0,0,16829.772980349142,14366.986896571154,9322.855633708465,14395.028936097347,13792.279319471369,13675.184545865528,2088.0,2120.0,1750.0,1700.0,1800.0,2023.0,Sergio Antonio Padrón Godoy,13473717,4994.0,18022.0
18012,18013,1,2,1,30,2,0,0,3,2,2,4798.146817909654,7685.878384362539,7608.246806927988,5871.270853474289,10436.857371846734,4848.269436660032,4000.0,9600.0,0.0,2600.0,2300.0,3000.0,Amador Jacinto Longoria,57830832,3916.0,13702.0
18013,18014,1,1,2,37,0,0,0,0,0,0,21224.37494872993,18616.56130696652,27613.939285569068,26846.858368661826,16213.114117732535,27469.549092995097,6000.0,6000.0,6000.0,5500.0,5500.0,5500.0,Ing. Jacinto Rodríquez,36219050,8083.4,27911.0
18014,18015,1,2,1,31,0,0,2,2,0,0,21949.49642521932,15862.315666162787,21049.823943205945,13193.248073240156,17812.36878905874,18444.54883740921,13650.0,4700.0,114.0,3500.0,3500.0,3400.0,Leonel Humberto Mejía,81709160,6131.4,22244.0
18015,18016,1,2,1,44,0,0,0,0,0,0,6660.356651415482,6813.693017977349,10156.71932490959,6529.868964745353,6847.721788277934,10224.0,1345.0,1197.0,1152.0,495.0,1014.0,0.0,Jesús López Gollum,74163986,6455.9,21468.0
18016,18017,1,3,2,40,0,0,0,2,2,0,13195.0,14197.0,13918.249820722389,6849.279205689014,11641.591644202364,13291.0,1238.0,2959.0,580.0,0.0,435.0,518.0,Clemente Roberto Cepeda,66990691,5893.2,22775.0
18017,18018,1,3,2,46,0,0,0,0,0,0,10854.200559032588,18000.320034160955,14291.827322120424,12548.217791737605,6707.321950018841,10138.595083155107,2326.0,2000.0,1235.0,622.0,1000.0,1000.0,Isaac Francisco Javier Pabón,99836346,4289.4,18020.0
18018,18019,1,1,2,34,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esteban Montañez Tovar,21206944,5573.1,21534.0
18019,18020,1,2,1,48,3,2,2,2,3,3,27591.60504732111,36347.468744692575,30808.172301278104,20623.493580603787,27902.086021063034,16926.93595638826,5000.0,0.0,15000.0,5327.0,22.0,10.0,Gerardo José Manuél Berríos,16404886,7370.0,36540.0
18020,18021,1,2,1,45,0,0,2,0,0,0,28880.695209235,16640.690888291378,28680.740827163805,25516.61531958344,16225.512766665415,15740.24414740878,4500.0,0.0,1750.0,1425.0,1412.0,1231.0,Ramiro Maestas,59139686,6213.9,29545.0
18021,18022,1,3,1,44,-2,-2,-2,-2,-2,-2,2180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samuel Gabino Sotelo Anaya,77018432,5211.0,16059.0
18022,18023,1,2,1,49,0,0,0,0,0,0,20670.945434276982,17892.634270203012,15611.573326218617,19107.75422023529,25023.408042106992,27561.0,2000.0,3500.0,3000.0,3000.0,5000.0,5000.0,Alberto Jonás Benavídez,76186697,7213.8,28302.0
18023,18024,1,1,1,39,-2,-2,-2,-2,-2,-2,0.0,0.0,905.0,0.0,0.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,Lucas Mata Muñiz,65287974,5200.0,23599.0
18024,18025,1,1,2,31,2,0,0,0,0,0,9075.936025919344,7917.86057270611,6259.244744420121,10670.649059784286,6306.11286417142,3016.0,2700.0,1707.0,1800.0,0.0,0.0,2025.5012269128024,Eloy Ayala Ayala,87519787,3721.9,17668.0
18025,18026,1,3,1,47,0,0,0,0,0,0,16013.0,14334.0,9086.0,5096.0,5096.0,5200.0,1419.0,1270.0,1200.0,0.0,104.0,0.0,Wilfrido Limón,20437477,5864.4,22059.0
18026,18027,1,1,2,38,2,2,2,0,0,0,25302.593134501905,16943.51192882332,11438.38414456559,16567.236211109524,16169.546584291926,12620.156410399442,12100.0,5000.0,4200.0,3000.0,5000.0,2000.0,Lorenzo Acuña,39070282,6804.2,28165.0
18027,18028,1,1,1,35,1,-2,-2,-2,-2,-2,396.0,396.0,396.0,396.0,396.0,396.0,205.34442128615072,347.14997602788293,396.0,396.0,396.0,371.1112669567692,Francisco Villa,98617057,9253.4,43132.0
18028,18029,1,3,2,31,0,0,0,0,0,0,7222.0,12839.437338356438,8848.038924443652,5053.480771220439,4980.41731340658,9380.0,7882.529841325376,2004.0,5013.0,3010.0,3690.0,4384.0,Alberto Valdivia Ruiz,46645530,2948.4,13840.0
18029,18030,1,2,2,33,0,0,0,0,0,0,7611.179168717432,14267.61926571149,10184.694674714226,12683.664703402035,12969.761642955073,8571.841459422685,7000.0,2000.0,2000.0,2000.0,2000.0,2000.0,Wilfrido Cervántez Pedraza,15617589,4516.6,21890.0
18030,18031,1,2,1,34,0,0,0,0,0,0,7924.982500084647,11652.41233298395,18017.71056984106,14758.097522856324,8367.216844902747,10246.59215594902,2525.0,3000.0,2637.0,3242.0,6783.0,0.0,Israel Roberto Alcala Mondragón,79566932,4402.2,18736.0
18031,18032,1,2,1,40,0,0,0,0,0,0,22398.822521102968,11919.268211730749,25257.329662723063,19221.07216193709,16134.883647235823,10223.661880122218,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,Jacinto Julio César Becerra Martínez,57817217,5693.6,25363.0
18032,18033,1,1,1,31,-1,-1,-1,-1,-1,-1,13041.14762808427,7747.0,13402.38241864776,8654.202247733363,12292.061798358189,4328.0,7751.0,5726.686405725726,14812.713761075896,14685.0,4328.0,3943.865186280492,Jonás Ulloa,59123621,4074.2,15583.0
18033,18034,1,2,1,32,2,2,2,2,2,2,13641.133719103063,12386.848673066346,19853.069753235133,7694.994762006506,20948.02200305692,10170.901354802,0.0,18000.0,8000.0,7500.0,0.0,8000.0,Lic. Eloy Ponce,35798069,5519.8,22447.0
18034,18035,1,1,1,46,-1,-1,-1,-1,-1,-2,991.0,4073.0,6738.0,2500.0,0.0,0.0,929.515997251254,3094.5252572676363,2510.0,0.0,0.0,1000.0,Aldo Balderas,30879681,10232.3,41734.0
18035,18036,1,2,2,38,2,0,0,0,0,-1,6647.7789106955815,9716.807233093456,6072.658909837426,8510.86062777447,9960.0,7682.912285041872,3910.0,1733.0,1000.0,1149.0,9109.993822145216,0.0,Dr. José Emilio Prieto,70237516,4708.0,16835.0
18036,18037,1,3,2,31,0,0,0,0,0,0,17529.598911751164,18668.526706801436,9940.520501553763,10170.981398512766,12707.0634165341,8395.585443999164,4500.0,5000.0,5000.0,4100.0,4192.0,6000.0,Miguel Jonás Gálvez Gallegos,19287324,4869.0,19271.0
18037,18038,1,2,1,42,0,0,0,0,0,0,14124.0,15132.0,12577.21560639228,18391.0,18783.0,19176.0,1249.0,1600.0,2500.0,1000.0,696.0,862.0,Porfirio Carmona,80454530,9522.7,39721.0
18038,18039,1,1,2,39,2,2,2,2,2,2,25473.63198657394,22923.43199480433,21905.433809598348,18644.515319593487,25099.583060396148,22438.968273553877,2500.0,0.0,4500.0,0.0,4800.0,1600.0,José Salinas,61898814,6449.3,30936.0
18039,18040,1,2,1,45,2,4,4,3,2,2,24766.860690834976,29769.578813574124,11055.62898797107,10781.850313356108,29397.0,29988.0,2372.0,0.0,0.0,1200.0,1200.0,1163.0,Ángel Leonel Soliz,44673364,9324.7,35715.0
18040,18041,1,3,1,47,-1,0,-1,-1,0,0,2840.0,2522.0,5500.0,17004.397450401928,15261.137881164,17946.20753125879,1000.0,2224.2697419259907,3873.852155127398,916.0,1161.0,1884.0,Dr. Renato Escalante,56493007,5262.3,24179.0
18041,18042,1,2,2,40,1,2,0,0,0,0,25673.438946079623,12887.188324570068,24222.722315827665,11654.53105627694,12521.631801520714,-1.0,0.0,2986.0,20150.0,500.0,0.0,0.0,Leonel Humberto Moya Razo,59544103,7516.3,25968.0
18042,18043,1,2,1,42,1,2,0,0,2,2,40644.14115837604,31863.6582495826,37676.50628120252,32350.80466125483,42912.88328801218,41806.68200612956,0.0,1980.0,5987.0,2000.0,1.0,3027.0,Dr. Santiago Munguía,19747861,8607.5,42938.0
18043,18044,1,2,2,44,0,0,0,0,0,0,19021.011207039726,14923.912216070026,22909.426515142077,13782.738759637125,30506.0,27422.43539477577,4000.0,4695.0,2300.0,2500.0,2000.0,3000.0,Daniel Jorge Luis Marrero,88619936,7872.7,33652.0
18044,18045,1,2,1,40,-1,-1,-1,-1,-1,-1,4599.0,3409.0,3790.0,2578.0,2100.0,2400.0,2945.9852854593933,2291.3101411285325,2578.0,2084.278780543138,2400.0,1689.4998898728063,Lorenzo Palacios Salas,69425981,6890.4,28397.0
18045,18046,1,1,1,33,0,0,0,0,0,0,10666.987478829606,5375.11701338761,16600.570466195957,14251.864340411114,13417.883958336548,0.0,1800.0,2300.0,1508.0,1000.0,0.0,0.0,Isaac Raúl Rascón Zamora,93666704,4093.7,17534.0
18046,18047,1,3,1,29,0,0,0,-1,-1,-1,9527.0,9907.0,9660.0,880.0,990.0,780.0,2000.0,1092.0,880.0,645.8512818566755,780.0,0.0,Isaac Palomino,59914350,3681.9,15983.0
18047,18048,1,2,2,30,-1,2,2,-2,-2,-2,780.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Germán Luis Manuel Sánchez Tamez,58652128,5185.4,23872.0
18048,18049,1,3,1,44,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Felipe Venegas,57481856,7304.4,30585.0
18049,18050,1,2,1,40,0,0,2,0,0,0,22689.200086928053,10057.01913377772,26752.350305112323,25630.087147688097,24488.45583087765,22576.52470751343,3454.0,0.0,1568.0,1361.0,1900.0,0.0,José María Evelio Palomo,95658778,6114.9,29126.0
18050,18051,1,2,2,46,0,0,0,0,0,0,12420.492080161122,11444.45831346426,20321.23419754338,8672.731033940001,12647.704591671454,11466.58577663632,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,Homero José Emilio Abrego,5037341,5548.4,20558.0
18051,18052,1,3,1,42,-2,-2,-2,-2,-2,-2,0.0,4435.0,0.0,3666.0,2749.0,2921.0,4435.0,0.0,3666.0,2878.0,2921.0,3272.8852515092585,Gilberto Lucas Campos Saldivar,49335298,5114.7,17088.0
18052,18053,1,2,2,45,0,0,0,0,0,0,40744.0408691584,13764.44237819015,14148.517682641515,39313.56339139082,31626.3085713734,28851.13171196844,6755.0,6900.0,6733.0,5632.0,128056.92141318395,8700.0,Gonzalo Julio César Jaramillo Rivero,57887417,8648.2,41419.0
18053,18054,1,1,1,39,-1,-1,-1,-2,-2,-2,5086.0,5661.0,0.0,0.0,0.0,0.0,3357.3908156210105,0.0,0.0,0.0,0.0,0.0,Enrique Israel Caballero,44332258,10080.2,36043.0
18054,18055,1,2,1,43,0,0,0,0,0,0,6215.251793757724,5787.68850561795,11766.914334972314,12480.143846173669,13546.4007744071,13297.197213275304,6029.0,7035.0,10007.0,20000.0,4000.0,10000.0,Gabriel Cano Alarcón,53478079,5028.1,15319.0
18055,18056,1,2,2,43,0,0,0,0,0,0,6286.2077431336,16584.040969144055,5785.005608215975,18093.71244640832,14537.986503828812,18060.48713538238,2000.0,1731.0,1955.0,1454.0,3300.0,0.0,Marcos Germán Zapata,4529727,5368.0,18644.0
18056,18057,1,1,2,47,-2,-2,-1,-1,0,-1,19217.483277370244,20473.0,3581.0,15542.327814377686,6783.0,5921.0,13642.833983150782,3587.0,4203.622241125918,146.0,5923.0,5419.613788638243,Óliver Arguello,92017383,6520.8,29844.0
